ts,open,high,low,close
1724904318,1.246541,1.258588,1.255609,1.257099
1724990718,1.260558,1.248233,1.245265,1.246749
1725077118,1.246009,1.266291,1.241711,1.254001
1725163518,1.259465,1.262458,1.229964,1.246211
1725249918,1.252701,1.253164,1.252622,1.252893
1725336318,1.254116,1.288526,1.279296,1.283911
1725422718,1.285571,1.271059,1.246585,1.258822
1725509118,1.260016,1.254955,1.250322,1.252639
1725595518,1.249921,1.258868,1.237782,1.248325
1725681918,1.248446,1.260429,1.239084,1.249757
1725768318,1.246855,1.256029,1.252482,1.254256
1725854718,1.251731,1.255318,1.240509,1.247914
1725941118,1.253694,1.247505,1.241067,1.244286
1726027518,1.242096,1.235748,1.230587,1.233168
1726113918,1.239586,1.228789,1.212549,1.220669
1726200318,1.223708,1.245580,1.224918,1.235249
1726286718,1.233172,1.243590,1.222511,1.233050
1726373118,1.238663,1.225418,1.221050,1.223234
1726459518,1.218365,1.224371,1.211113,1.217742
1726545918,1.216818,1.229503,1.226879,1.228191
1726632318,1.221781,1.241567,1.231206,1.236386
1726718718,1.235251,1.244070,1.242463,1.243266
1726805118,1.251283,1.239245,1.227626,1.233435
1726891518,1.227604,1.230684,1.203929,1.217306
1726977918,1.216155,1.243723,1.224092,1.233908
1727064318,1.232807,1.242162,1.218406,1.230284
1727150718,1.223897,1.222889,1.222786,1.222837
1727237118,1.224383,1.234636,1.217010,1.225823
1727323518,1.230434,1.224272,1.217149,1.220711
1727409918,1.220034,1.242249,1.223274,1.232761
1727496318,1.235525,1.215464,1.191120,1.203292
1727582718,1.195630,1.198338,1.180699,1.189518
1727669118,1.186175,1.232262,1.205711,1.218986
1727755518,1.226265,1.218777,1.209723,1.214250
1727841918,1.213980,1.214040,1.213672,1.213856
1727928318,1.215517,1.229556,1.223411,1.226483
1728014718,1.227568,1.265470,1.236428,1.250949
1728101118,1.251471,1.258431,1.233708,1.246069
1728187518,1.244418,1.272591,1.231627,1.252109
1728273918,1.248888,1.268886,1.256885,1.262885
1728360318,1.257261,1.255140,1.246622,1.250881
1728446718,1.253853,1.260451,1.242058,1.251254
1728533118,1.251834,1.254009,1.253013,1.253511
1728619518,1.258146,1.222632,1.221485,1.222059
1728705918,1.217081,1.256331,1.251472,1.253902
1728792318,1.254734,1.257864,1.249831,1.253847
1728878718,1.253452,1.288939,1.281231,1.285085
1728965118,1.281936,1.283804,1.267391,1.275597
1729051518,1.268172,1.282500,1.260523,1.271511
1729137918,1.271325,1.276631,1.264409,1.270520
1729224318,1.272920,1.264769,1.240374,1.252571
1729310718,1.255348,1.242717,1.235285,1.239001
1729397118,1.238026,1.249134,1.242513,1.245824
1729483518,1.242076,1.275826,1.262254,1.269040
1729569918,1.264677,1.287855,1.270183,1.279019
1729656318,1.281218,1.289938,1.289542,1.289740
1729742718,1.287555,1.277724,1.269246,1.273485
1729829118,1.276673,1.277289,1.276106,1.276697
1729915518,1.273805,1.320580,1.292262,1.306421
1730001918,1.310554,1.323242,1.320011,1.321627
1730088318,1.320597,1.331111,1.314778,1.322945
1730174718,1.325265,1.327224,1.292281,1.309752
1730261118,1.312573,1.334075,1.325717,1.329896
1730347518,1.330577,1.343394,1.336829,1.340111
1730433918,1.338177,1.349724,1.345741,1.347732
1730520318,1.342643,1.365411,1.349598,1.357505
1730606718,1.353716,1.360934,1.353801,1.357367
1730693118,1.356268,1.376544,1.372304,1.374424
1730779518,1.371980,1.404378,1.387201,1.395789
1730865918,1.394732,1.391452,1.366154,1.378803
1730952318,1.380348,1.403004,1.382240,1.392622
1731038718,1.385587,1.370156,1.360738,1.365447
1731125118,1.362789,1.391858,1.379026,1.385442
1731211518,1.387746,1.395924,1.376865,1.386395
1731297918,1.389035,1.390843,1.378929,1.384886
1731384318,1.380097,1.387670,1.377152,1.382411
1731470718,1.385259,1.385696,1.358457,1.372077
1731557118,1.372801,1.382059,1.371725,1.376892
1731643518,1.374571,1.403291,1.351159,1.377225
1731729918,1.369169,1.380170,1.375625,1.377898
1731816318,1.380194,1.400365,1.374010,1.387188
1731902718,1.389497,1.397930,1.395991,1.396960
1731989118,1.398990,1.397655,1.379092,1.388373
1732075518,1.392781,1.394693,1.383899,1.389296
1732161918,1.392498,1.410732,1.380036,1.395384
1732248318,1.396185,1.425231,1.396392,1.410812
1732334718,1.406504,1.412327,1.407038,1.409682
1732421118,1.413055,1.407194,1.407122,1.407158
1732507518,1.411142,1.417730,1.408956,1.413343
1732593918,1.415374,1.421204,1.416535,1.418869
1732680318,1.418088,1.424180,1.415869,1.420024
1732766718,1.422500,1.426623,1.422863,1.424743
1732853118,1.426156,1.407061,1.389479,1.398270
1732939518,1.404516,1.382496,1.372920,1.377708
1733025918,1.379752,1.391153,1.367158,1.379156
1733112318,1.384510,1.367186,1.336524,1.351855
1733198718,1.353543,1.347900,1.335191,1.341545
1733285118,1.342165,1.345126,1.317167,1.331146
1733371518,1.335397,1.338591,1.324388,1.331489
1733457918,1.327130,1.340403,1.331928,1.336165
1733544318,1.338300,1.349308,1.315633,1.332470
1733630718,1.331379,1.321609,1.305147,1.313378
1733717118,1.315730,1.330640,1.319085,1.324863
1733803518,1.320765,1.351946,1.344278,1.348112
1733889918,1.344599,1.356627,1.343034,1.349830
1733976318,1.341109,1.346944,1.336571,1.341757
1734062718,1.338829,1.348092,1.326585,1.337339
1734149118,1.335862,1.360908,1.337342,1.349125
1734235518,1.342671,1.358704,1.346692,1.352698
1734321918,1.353809,1.351217,1.344028,1.347623
1734408318,1.342857,1.354453,1.329733,1.342093
1734494718,1.343127,1.339596,1.335365,1.337481
1734581118,1.336870,1.355631,1.351581,1.353606
1734667518,1.349813,1.379459,1.351918,1.365688
1734753918,1.368430,1.373165,1.368292,1.370728
1734840318,1.371509,1.394656,1.348464,1.371560
1734926718,1.369357,1.373208,1.363978,1.368593
